Accident Quarter, Earned Exposure , Claims 
200901, 100 , 19 
200902, 100 , 18 
200903, 100 , 30 
200904, 100 , 14 
201001, 100 , 28 
201002, 100 , 22 
201003, 100 , 23 
201004, 100 , 20 
201101, 100 , 21 
201102, 100 , 26 
201103, 100 , 28 
201104, 100 , 36 
201201, 100 , 5 
201202, 100 , 25 
201203, 100 , 34 
201204, 100 , 27 
201301, 100 , 31 
201302, 100 , 34 
201303, 100 , 31 
201304, 100 , 26 
201401, 100 , 35 
201402, 100 , 35 
201403, 100 , 18 
201404, 100 , 29 
201501, 100 , 45 
201502, 100 , 35 
201503, 100 , 43 
201504, 100 , 44 
201601, 100 , 45 
201602, 100 , 32 
201603, 100 , 31 
201604, 100 , 57 
201701, 100 , 24 
201702, 100 , 34 
201703, 100 , 49 
201704, 100 , 34 
