Accident Quarter, Earned Exposure , Claims 
200901, 200 , 29 
200902, 200 , 19 
200903, 200 , 9 
200904, 200 , 25 
201001, 200 , 15 
201002, 200 , 18 
201003, 200 , 11 
201004, 200 , 15 
201101, 200 , 17 
201102, 200 , 25 
201103, 200 , 22 
201104, 200 , 27 
201201, 200 , 17 
201202, 200 , 24 
201203, 200 , 21 
201204, 200 , 25 
201301, 200 , 9 
201302, 200 , 12 
201303, 200 , 19 
201304, 200 , 22 
201401, 200 , 11 
201402, 200 , 22 
201403, 200 , 24 
201404, 200 , 15 
201501, 200 , 21 
201502, 200 , 21 
201503, 200 , 27 
201504, 200 , 29 
201601, 200 , 33 
201602, 200 , 31 
201603, 200 , 27 
201604, 200 , 16 
201701, 200 , 19 
201702, 200 , 31 
201703, 200 , 23 
201704, 200 , 2 
