Accident Quarter, Earned Exposure , Claims 
200901," 2,196 ", 439 
200902," 2,312 ", 500 
200903," 2,548 ", 597 
200904," 2,450 ", 622 
201001," 2,677 ", 735 
201002," 2,657 ", 790 
201003," 2,730 ", 878 
201004," 2,821 ", 982 
201101," 2,945 "," 1,110 "
201102," 3,232 "," 1,319 "
201103," 3,235 "," 1,429 "
201104," 3,290 "," 1,572 "
201201," 3,406 "," 1,762 "
201202," 3,443 "," 1,928 "
201203," 3,673 "," 2,227 "
201204," 3,763 "," 2,469 "
201301," 3,791 "," 2,693 "
201302," 3,827 "," 2,943 "
201303," 4,141 "," 3,446 "
201304," 4,050 "," 3,648 "
201401," 4,317 "," 4,210 "
201402," 4,389 "," 4,632 "
201403," 4,340 "," 4,958 "
201404," 4,403 "," 5,445 "
201501," 4,553 "," 6,095 "
201502," 4,715 "," 6,831 "
201503," 4,934 "," 7,738 "
201504," 4,818 "," 8,180 "
201601," 4,979 "," 9,150 "
201602," 5,209 "," 10,361 "
201603," 5,186 "," 11,165 "
201604," 5,290 "," 12,328 "
201701," 5,446 "," 13,738 "
201702," 5,550 "," 15,154 "
201703," 5,748 "," 16,989 "
201704," 5,677 "," 18,164 "
