Accident Quarter, Earned Exposure , Claims 
200901, 200 , 19 
200902, 200 , 16 
200903, 200 , 30 
200904, 200 , 23 
201001, 200 , 22 
201002, 200 , 31 
201003, 200 , 35 
201004, 200 , 23 
201101, 200 , 21 
201102, 200 , 38 
201103, 200 , 43 
201104, 200 , 36 
201201, 200 , 29 
201202, 200 , 11 
201203, 200 , 19 
201204, 200 , 38 
201301, 200 , 42 
201302, 200 , 30 
201303, 200 , 35 
201304, 200 , 31 
201401, 200 , 25 
201402, 200 , 34 
201403, 200 , 16 
201404, 200 , 26 
201501, 200 , 36 
201502, 200 , 42 
201503, 200 , 48 
201504, 200 , 30 
201601, 200 , 48 
201602, 200 , 13 
201603, 200 , 27 
201604, 200 , 34 
201701, 200 , 46 
201702, 200 , 57 
201703, 200 , 25 
201704, 200 , 44 
